"date","season","competition","type","name","nation","rank","course.rank","tot.time","course.time","location","elevation","height.diff","max.climb","total.climb","birthday","snow.conditions","snow.temperature","air.temperature","weather.conditions","fails.total","speed","age","home"
"10-12-1","10-11","I","W","CYL Agnieszka","POL",17,19,2918.8,2478.1,"Östersund",364,48,48,129,"28.2.1984","Hard",-12.5,-10.2,"Sky Clear",3,6.05302449457245,26.7753424657534,"Aboard"
"10-12-1","10-11","I","W","BACHMANN Tina","GER",18,5,2925.4,2385.6,"Östersund",364,48,48,129,"15.7.1986","Hard",-12.5,-10.2,"Sky Clear",4,6.28772635814889,24.3973744292237,"Aboard"
"10-12-1","10-11","I","W","SOLEMDAL Synnoeve","NOR",19,38,2934.8,2537.2,"Östersund",364,48,48,129,"15.5.1989","Hard",-12.5,-10.2,"Sky Clear",2,5.91202900835567,21.5617579908676,"Aboard"
"10-12-1","10-11","I","W","KHVOSTENKO Oksana","UKR",20,44,2937.6,2554.1,"Östersund",364,48,48,129,"27.11.1977","Hard",-12.5,-10.2,"Sky Clear",2,5.87291022277906,33.0328767123288,"Aboard"
"10-12-1","10-11","I","W","VILUKHINA Olga","RUS",21,27,2945,2512.8,"Östersund",364,48,48,129,"22.3.1988","Hard",-12.5,-10.2,"Sky Clear",3,5.9694364851958,22.7095890410959,"Aboard"
"10-12-1","10-11","I","W","VEJNAROVA Zdenka","CZE",22,64,2945.8,2615.3,"Östersund",364,48,48,129,"22.6.1981","Hard",-12.5,-10.2,"Sky Clear",1,5.73547967728368,29.4631278538813,"Home"
"10-12-1","10-11","I","W","GASPARIN Selina","SUI",23,15,2946.9,2462,"Östersund",364,48,48,129,"3.4.1984","Hard",-12.5,-10.2,"Sky Clear",3,6.09260763606824,26.6795662100457,"Aboard"
"10-12-1","10-11","I","W","OBERHOFER Karin","ITA",24,67,2947.9,2624.4,"Östersund",364,48,48,129,"3.11.1985","Hard",-12.5,-10.2,"Sky Clear",1,5.71559213534522,25.0931506849315,"Aboard"
"10-12-1","10-11","I","W","SPECTOR Laura","USA",25,57,2954.8,2592.3,"Östersund",364,48,48,129,"30.10.1987","Hard",-12.5,-10.2,"Sky Clear",1,5.78636731859738,23.1041095890411,"Aboard"
"10-12-1","10-11","I","W","PONZA Michela","ITA",26,53,2966,2575.5,"Östersund",364,48,48,129,"12.2.1979","Hard",-12.5,-10.2,"Sky Clear",2,5.824111822947,31.8219178082192,"Aboard"
"10-12-1","10-11","I","W","SEMERENKO Vita","UKR",27,25,2967.8,2506.8,"Östersund",364,48,48,129,"18.1.1986","Hard",-12.5,-10.2,"Sky Clear",3,5.98372426998564,24.8849315068493,"Aboard"
"10-12-1","10-11","I","W","MACABIES Pauline","FRA",28,43,2973.9,2552.4,"Östersund",364,48,48,129,"3.3.1986","Hard",-12.5,-10.2,"Sky Clear",2,5.87682181476258,24.7643835616438,"Aboard"
"10-12-1","10-11","I","W","YURLOVA-PERCHT Ekaterina","RUS",29,31,2975.3,2521.5,"Östersund",364,48,48,129,"23.2.1985","Hard",-12.5,-10.2,"Sky Clear",3,5.94883997620464,25.786301369863,"Aboard"
"10-12-1","10-11","I","W","BOILLEY Sophie","FRA",30,45,2978.6,2560.6,"Östersund",364,48,48,129,"18.12.1989","Hard",-12.5,-10.2,"Sky Clear",2,5.85800203077404,20.9671232876712,"Aboard"
"10-12-1","10-11","I","W","BERGER Tora","NOR",31,22,2979.9,2494,"Östersund",364,48,48,129,"18.3.1981","Hard",-12.5,-10.2,"Sky Clear",4,6.01443464314354,29.7260273972603,"Aboard"
"10-12-1","10-11","I","W","SUPRUN Inna","UKR",32,39,2982.6,2546.1,"Östersund",364,48,48,129,"10.4.1983","Hard",-12.5,-10.2,"Sky Clear",2,5.8913632614587,27.6631278538813,"Aboard"
"10-12-1","10-11","I","W","BUCHHOLZ Sabrina","GER",33,34,2985,2525.5,"Östersund",364,48,48,129,"5.3.1980","Hard",-12.5,-10.2,"Sky Clear",3,5.93941793704217,30.7616438356164,"Aboard"
"10-12-1","10-11","I","W","VITKOVA Veronika","CZE",34,60,2986.5,2602.1,"Östersund",364,48,48,129,"9.12.1988","Hard",-12.5,-10.2,"Sky Clear",2,5.76457476653472,21.9917808219178,"Home"
"10-12-1","10-11","I","W","DOMRACHEVA Darya","BLR",35,13,2991.6,2425.4,"Östersund",364,48,48,129,"3.8.1986","Hard",-12.5,-10.2,"Sky Clear",5,6.18454687886534,24.3453196347032,"Aboard"
"10-12-1","10-11","I","W","EIE Kari Henneseid","NOR",36,17,2995.7,2466.2,"Östersund",364,48,48,129,"2.7.1982","Hard",-12.5,-10.2,"Sky Clear",4,6.08223177357879,28.4357305936073,"Aboard"
"10-12-1","10-11","I","W","POLTORANINA Olga","KAZ",37,55,2997.6,2586.1,"Östersund",364,48,48,129,"27.2.1987","Hard",-12.5,-10.2,"Sky Clear",2,5.80023974324272,23.7753424657534,"Aboard"
"10-12-1","10-11","I","W","TOFALVI Eva","ROU",38,58,3000,2595,"Östersund",364,48,48,129,"4.12.1978","Hard",-12.5,-10.2,"Sky Clear",2,5.78034682080925,32.013698630137,"Aboard"
"10-12-1","10-11","I","W","GÖSSNER Miriam","GER",39,6,3003.6,2402.9,"Östersund",364,48,48,129,"21.6.1990","Hard",-12.5,-10.2,"Sky Clear",5,6.24245703108744,20.4603881278539,"Aboard"
"10-12-1","10-11","I","W","SAUE Eveli","EST",40,52,3021.2,2573.6,"Östersund",364,48,48,129,"13.2.1984","Hard",-12.5,-10.2,"Sky Clear",3,5.82841156356854,26.8164383561644,"Aboard"
"10-12-1","10-11","I","W","NOWAKOWSKA-ZIEMNIAK Weronika","POL",41,30,3030.6,2521.1,"Östersund",364,48,48,129,"7.7.1986","Hard",-12.5,-10.2,"Sky Clear",4,5.94978382452104,24.4192922374429,"Aboard"
"10-12-1","10-11","I","W","PISAREVA Nadzeya","BLR",42,49,3032.4,2566.9,"Östersund",364,48,48,129,"5.7.1988","Hard",-12.5,-10.2,"Sky Clear",3,5.84362460555534,22.4220319634703,"Aboard"
"10-12-1","10-11","I","W","BIRKELAND Fanny Horn","NOR",43,40,3032.9,2550.7,"Östersund",364,48,48,129,"8.3.1988","Hard",-12.5,-10.2,"Sky Clear",3,5.88073862077077,22.7479452054795,"Aboard"
"10-12-1","10-11","I","W","HOJNISZ Monika","POL",44,69,3035.8,2629.7,"Östersund",364,48,48,129,"27.8.1991","Hard",-12.5,-10.2,"Sky Clear",2,5.70407270791345,19.2768264840183,"Aboard"
"10-12-1","10-11","I","W","TANG Jialin","CHN",45,61,3042.3,2604.6,"Östersund",364,48,48,129,"5.11.1991","Hard",-12.5,-10.2,"Sky Clear",3,5.75904169546188,19.0849315068493,"Aboard"
"10-12-1","10-11","I","W","NILSSON Anna Maria","SWE",46,35,3047.6,2531,"Östersund",364,48,48,129,"13.5.1983","Hard",-12.5,-10.2,"Sky Clear",4,5.92651126037139,27.5727168949772,"Aboard"
"10-12-1","10-11","I","W","FORIKA Reka","ROU",47,78,3052.5,2701.9,"Östersund",364,48,48,129,"29.3.1989","Hard",-12.5,-10.2,"Sky Clear",1,5.55164883970539,21.6905251141553,"Aboard"
"10-12-1","10-11","I","W","RASIMOVICIUTE-BRICE Diana","LTU",48,20,3056.4,2480.9,"Östersund",364,48,48,129,"25.2.1984","Hard",-12.5,-10.2,"Sky Clear",5,6.0461929138619,26.7835616438356,"Aboard"
"10-12-1","10-11","I","W","KOCHER Zina","CAN",49,50,3058.1,2570.8,"Östersund",364,48,48,129,"5.12.1982","Hard",-12.5,-10.2,"Sky Clear",3,5.83475960790415,28.0082191780822,"Aboard"
"10-12-1","10-11","I","W","MUN Ji-Hee","KOR",50,41,3060.7,2550.9,"Östersund",364,48,48,129,"2.8.1988","Hard",-12.5,-10.2,"Sky Clear",4,5.88027754910032,22.3453196347032,"Aboard"
"10-12-1","10-11","I","W","HITZER Kathrin","GER",51,37,3061.8,2536.3,"Östersund",364,48,48,129,"3.9.1986","Hard",-12.5,-10.2,"Sky Clear",4,5.91412687773528,24.2603881278539,"Aboard"
"10-12-1","10-11","I","W","BRANKOVIC-LIKOZAR Tadeja","SLO",52,32,3063.4,2523,"Östersund",364,48,48,129,"20.12.1979","Hard",-12.5,-10.2,"Sky Clear",4,5.94530321046373,30.9698630136986,"Aboard"
"10-12-1","10-11","I","W","BRETON Claire","FRA",53,56,3081.6,2591.7,"Östersund",364,48,48,129,"23.6.1985","Hard",-12.5,-10.2,"Sky Clear",3,5.78770691052205,25.4576484018265,"Aboard"
"10-12-1","10-11","I","W","BOGALIY-TITOVETS Anna","RUS",54,16,3084.6,2464.4,"Östersund",364,48,48,129,"12.6.1979","Hard",-12.5,-10.2,"Sky Clear",6,6.08667424119461,31.4931506849315,"Aboard"
"10-12-1","10-11","I","W","SKARDINO Nadezhda","BLR",55,26,3085.2,2506.9,"Östersund",364,48,48,129,"27.3.1985","Hard",-12.5,-10.2,"Sky Clear",5,5.98348557979975,25.6986301369863,"Aboard"
"10-12-1","10-11","I","W","YORDANOVA Emiliya","BUL",56,71,3090.6,2636.6,"Östersund",364,48,48,129,"5.5.1989","Hard",-12.5,-10.2,"Sky Clear",3,5.68914511112797,21.5891552511416,"Aboard"
"10-12-1","10-11","I","W","LEBEDEVA Marina","KAZ",57,47,3093.3,2564,"Östersund",364,48,48,129,"29.5.1985","Hard",-12.5,-10.2,"Sky Clear",4,5.85023400936037,25.5261415525114,"Aboard"
"10-12-1","10-11","I","W","KALINCHIK Liudmila","BLR",58,36,3097.3,2533.1,"Östersund",364,48,48,129,"23.7.1982","Hard",-12.5,-10.2,"Sky Clear",5,5.92159804192491,28.378196347032,"Aboard"
"10-12-1","10-11","I","W","DÖLL Juliane","GER",59,42,3109.3,2551.9,"Östersund",364,48,48,129,"8.7.1986","Hard",-12.5,-10.2,"Sky Clear",5,5.87797327481484,24.4165525114155,"Aboard"
"10-12-1","10-11","I","W","MOZHEVITINA Irina","KAZ",60,79,3117.2,2714.9,"Östersund",364,48,48,129,"1.7.1985","Hard",-12.5,-10.2,"Sky Clear",2,5.52506537994033,25.4357305936073,"Aboard"
"10-12-1","10-11","I","W","TOMESOVA Barbora","CZE",61,54,3122.2,2586,"Östersund",364,48,48,129,"8.11.1986","Hard",-12.5,-10.2,"Sky Clear",4,5.80046403712297,24.0794520547945,"Home"
"10-12-1","10-11","I","W","JO In-Hee","KOR",62,87,3126.4,2766.8,"Östersund",364,48,48,129,"25.2.1989","Hard",-12.5,-10.2,"Sky Clear",1,5.42142547347116,21.7780821917808,"Aboard"
"10-12-1","10-11","I","W","JONSSON Jenny","SWE",63,82,3126.5,2728.2,"Östersund",364,48,48,129,"30.8.1987","Hard",-12.5,-10.2,"Sky Clear",2,5.4981306355839,23.2713470319635,"Aboard"
"10-12-1","10-11","I","W","LIDUMA Madara","LAT",64,28,3129,2516.6,"Östersund",364,48,48,129,"10.8.1982","Hard",-12.5,-10.2,"Sky Clear",5,5.96042279265676,28.3288812785388,"Aboard"
"10-12-1","10-11","I","W","NAZAROVA Olga","BLR",65,73,3130.2,2654,"Östersund",364,48,48,129,"12.7.1988","Hard",-12.5,-10.2,"Sky Clear",3,5.65184626978146,22.4028538812785,"Aboard"
"10-12-1","10-11","I","W","HÖGBERG Elisabeth","SWE",66,66,3132.5,2622.7,"Östersund",364,48,48,129,"7.11.1986","Hard",-12.5,-10.2,"Sky Clear",4,5.71929690776681,24.0821917808219,"Aboard"
"10-12-1","10-11","I","W","YAHATA Itsuka","JPN",67,83,3140.3,2748.8,"Östersund",364,48,48,129,"8.5.1980","Hard",-12.5,-10.2,"Sky Clear",1,5.4569266589057,30.5864155251142,"Aboard"
"10-12-1","10-11","I","W","WANG Chunli","CHN",68,51,3143.7,2572.4,"Östersund",364,48,48,129,"10.8.1983","Hard",-12.5,-10.2,"Sky Clear",5,5.83113046182553,27.3288812785388,"Aboard"
"10-12-1","10-11","I","W","CRAWFORD Rosanna","CAN",69,85,3150.8,2758.9,"Östersund",364,48,48,129,"23.5.1988","Hard",-12.5,-10.2,"Sky Clear",2,5.43694950886223,22.5398401826484,"Aboard"
"10-12-1","10-11","I","W","KLENOVSKA Nina","BUL",70,72,3153.5,2645,"Östersund",364,48,48,129,"7.5.1980","Hard",-12.5,-10.2,"Sky Clear",4,5.6710775047259,30.5891552511416,"Aboard"
"10-12-1","10-11","I","W","LIGHTFOOT Amanda","GBR",71,74,3155,2654.1,"Östersund",364,48,48,129,"30.1.1987","Hard",-12.5,-10.2,"Sky Clear",3,5.65163332203007,23.8520547945205,"Aboard"
"10-12-1","10-11","I","W","STUDEBAKER Sara","USA",72,77,3161.7,2693.4,"Östersund",364,48,48,129,"7.10.1984","Hard",-12.5,-10.2,"Sky Clear",3,5.56916907997327,26.1671232876712,"Aboard"
"10-12-1","10-11","I","W","BESCOND Anais","FRA",73,23,3197.4,2504,"Östersund",364,48,48,129,"15.5.1987","Hard",-12.5,-10.2,"Sky Clear",7,5.99041533546326,23.564497716895,"Aboard"
"10-12-1","10-11","I","W","TACHIZAKI Fuyuko","JPN",74,63,3200.1,2614.7,"Östersund",364,48,48,129,"13.1.1989","Hard",-12.5,-10.2,"Sky Clear",5,5.73679580831453,21.8958904109589,"Aboard"
"10-12-1","10-11","I","W","KHRUSTALEVA Elena","KAZ",75,89,3203.9,2793.6,"Östersund",364,48,48,129,"28.9.1980","Hard",-12.5,-10.2,"Sky Clear",2,5.36941580756014,30.1946347031963,"Aboard"
"10-12-1","10-11","I","W","GEREKOVA Jana","SVK",76,29,3205.8,2519.2,"Östersund",364,48,48,129,"27.11.1984","Hard",-12.5,-10.2,"Sky Clear",7,5.95427119720546,26.027397260274,"Aboard"
"10-12-1","10-11","I","W","LARSSON Emelie","SWE",77,75,3211.4,2676.8,"Östersund",364,48,48,129,"5.6.1987","Hard",-12.5,-10.2,"Sky Clear",4,5.60370591751345,23.5069634703196,"Aboard"
"10-12-1","10-11","I","W","MALI Andreja","SLO",78,21,3218.2,2491.3,"Östersund",364,48,48,129,"17.11.1977","Hard",-12.5,-10.2,"Sky Clear",7,6.02095291614819,33.0602739726027,"Aboard"
"10-12-1","10-11","I","W","PISCORAN Luminita","ROU",79,68,3226,2625.3,"Östersund",364,48,48,129,"14.3.1988","Hard",-12.5,-10.2,"Sky Clear",5,5.71363272768826,22.7315068493151,"Aboard"
"10-12-1","10-11","I","W","WALDHUBER Iris","AUT",80,81,3250,2723.6,"Östersund",364,48,48,129,"1.5.1970","Hard",-12.5,-10.2,"Sky Clear",4,5.50741665442796,40.613698630137,"Aboard"
"10-12-1","10-11","I","W","ZVARICOVA Veronika","CZE",81,80,3253.8,2719.8,"Östersund",364,48,48,129,"8.12.1988","Hard",-12.5,-10.2,"Sky Clear",4,5.51511140525039,21.9945205479452,"Home"
"10-12-1","10-11","I","W","PYSARENKO Lyudmyla","UKR",82,76,3260.9,2689.8,"Östersund",364,48,48,129,"29.5.1983","Hard",-12.5,-10.2,"Sky Clear",5,5.57662279723399,27.5288812785388,"Aboard"
"10-12-1","10-11","I","W","IMRIE Megan","CAN",83,65,3273.6,2621.8,"Östersund",364,48,48,129,"14.2.1986","Hard",-12.5,-10.2,"Sky Clear",6,5.72126020291403,24.8109589041096,"Aboard"
"10-12-1","10-11","I","W","SONG Chaoqing","CHN",84,62,3301.1,2614.4,"Östersund",364,48,48,129,"21.3.1991","Hard",-12.5,-10.2,"Sky Clear",7,5.7374541003672,19.7123287671233,"Aboard"
"10-12-1","10-11","I","W","CHRAPANOVA Martina","SVK",85,88,3307.6,2775.2,"Östersund",364,48,48,129,"14.12.1989","Hard",-12.5,-10.2,"Sky Clear",4,5.40501585471317,20.9780821917808,"Aboard"
"10-12-1","10-11","I","W","LEHTLA Kadri","EST",86,70,3321.5,2632.8,"Östersund",364,48,48,129,"3.5.1985","Hard",-12.5,-10.2,"Sky Clear",7,5.69735642661805,25.5973744292237,"Aboard"
"10-12-1","10-11","I","W","KUZMINA Anastasiya","SVK",87,18,3347.1,2472.6,"Östersund",364,48,48,129,"28.8.1984","Hard",-12.5,-10.2,"Sky Clear",10,6.06648871633099,26.2768264840183,"Aboard"
"10-12-1","10-11","I","W","KRUMINA Gerda","LAT",88,84,3424.6,2752.6,"Östersund",364,48,48,129,"26.11.1984","Hard",-12.5,-10.2,"Sky Clear",6,5.44939330087917,26.0301369863014,"Aboard"
"10-12-1","10-11","I","W","SILTAKORPI Annukka","FIN",89,86,3434.2,2766.3,"Östersund",364,48,48,129,"15.1.1983","Hard",-12.5,-10.2,"Sky Clear",6,5.42240537902614,27.8958904109589,"Aboard"
"10-12-1","10-11","I","W","XU Yinghui","CHN",90,91,3444.2,2821.8,"Östersund",364,48,48,129,"7.1.1989","Hard",-12.5,-10.2,"Sky Clear",6,5.31575590048905,21.9123287671233,"Aboard"
"10-12-1","10-11","I","W","PREKOPOVA Natalia","SVK",91,93,3445.6,2921.5,"Östersund",364,48,48,129,"31.5.1989","Hard",-12.5,-10.2,"Sky Clear",4,5.13434879342803,21.5179223744292,"Aboard"
"10-12-1","10-11","I","W","LEBEDEVA Anna","KAZ",92,48,3449.8,2564.7,"Östersund",364,48,48,129,"26.12.1981","Hard",-12.5,-10.2,"Sky Clear",10,5.84863726751667,28.9506849315068,"Aboard"
"10-12-1","10-11","I","W","JUSKANE Zanna","LAT",93,90,3482,2797.4,"Östersund",364,48,48,129,"5.10.1989","Hard",-12.5,-10.2,"Sky Clear",6,5.36212197040109,21.1698630136986,"Aboard"
"10-12-1","10-11","I","W","HANNI Sirli","EST",94,92,3555,2833.7,"Östersund",364,48,48,129,"27.10.1985","Hard",-12.5,-10.2,"Sky Clear",7,5.29343261460282,25.1123287671233,"Aboard"
"10-12-1","10-11","I","W","CAMENSCIC Alexandra","MDA",95,94,3575.3,3000.9,"Östersund",364,48,48,129,"28.8.1988","Hard",-12.5,-10.2,"Sky Clear",4,4.99850044986504,22.2740867579909,"Aboard"
"11-1-13","10-11","I","W","ZAITSEVA Olga","RUS",1,4,2506.1,2302.2,"Ruhpolding",714,42,28,105,"16.5.1978","Wet",0,4.3,"Rain",0,6.51550690643732,32.6849315068493,"Aboard"
"11-1-13","10-11","I","W","HENKEL Andrea","GER",2,5,2520.6,2303.5,"Ruhpolding",714,42,28,105,"10.12.1977","Wet",0,4.3,"Rain",0,6.51182982418059,33.1150684931507,"Home"
"11-1-13","10-11","I","W","EKHOLM Helena","SWE",3,10,2543.5,2331.6,"Ruhpolding",714,42,28,105,"6.9.1984","Wet",0,4.3,"Rain",0,6.43335048893464,26.3699771689498,"Aboard"
"11-1-13","10-11","I","W","SEMERENKO Valj","UKR",4,14,2616.9,2349.7,"Ruhpolding",714,42,28,105,"18.1.1986","Wet",0,4.3,"Rain",1,6.3837936757884,25.0027397260274,"Aboard"
"11-1-13","10-11","I","W","DORIN HABERT Marie","FRA",5,17,2637.2,2360.2,"Ruhpolding",714,42,28,105,"19.6.1986","Wet",0,4.3,"Rain",1,6.35539361071096,24.5864155251142,"Aboard"
"11-1-13","10-11","I","W","SLEPTSOVA Svetlana","RUS",6,9,2650.6,2324.6,"Ruhpolding",714,42,28,105,"31.7.1986","Wet",0,4.3,"Rain",2,6.45272304912673,24.4713470319635,"Aboard"
"11-1-13","10-11","I","W","SEMERENKO Vita","UKR",7,21,2655.9,2386.7,"Ruhpolding",714,42,28,105,"18.1.1986","Wet",0,4.3,"Rain",1,6.28482842418402,25.0027397260274,"Aboard"
"11-1-13","10-11","I","W","MÄKÄRÄINEN Kaisa","FIN",8,6,2659,2312,"Ruhpolding",714,42,28,105,"11.1.1983","Wet",0,4.3,"Rain",2,6.4878892733564,28.0246575342466,"Aboard"
"11-1-13","10-11","I","W","BERGER Tora","NOR",9,18,2694.6,2367.1,"Ruhpolding",714,42,28,105,"18.3.1981","Wet",0,4.3,"Rain",2,6.33686789742723,29.8438356164384,"Aboard"
"11-1-13","10-11","I","W","ROMANOVA Iana","RUS",10,37,2712.3,2447.9,"Ruhpolding",714,42,28,105,"11.5.1983","Wet",0,4.3,"Rain",1,6.12770129498754,27.69600456621,"Aboard"
"11-1-13","10-11","I","W","BRUNET Marie Laure","FRA",11,12,2723.4,2337.7,"Ruhpolding",714,42,28,105,"20.11.1988","Wet",0,4.3,"Rain",3,6.41656328870257,22.1616438356164,"Aboard"
"11-1-13","10-11","I","W","GASPARIN Selina","SUI",12,28,2725.8,2417,"Ruhpolding",714,42,28,105,"3.4.1984","Wet",0,4.3,"Rain",1,6.20604054613157,26.7973744292237,"Aboard"
"11-1-13","10-11","I","W","BUCHHOLZ Sabrina","GER",13,36,2740.3,2445.3,"Ruhpolding",714,42,28,105,"5.3.1980","Wet",0,4.3,"Rain",1,6.13421666053245,30.8794520547945,"Home"
"11-1-13","10-11","I","W","GREGORIN Teja","SLO",14,7,2745.3,2320.7,"Ruhpolding",714,42,28,105,"29.6.1980","Wet",0,4.3,"Rain",3,6.46356702719007,30.5617579908676,"Aboard"
"11-1-13","10-11","I","W","HALLER Katja","ITA",15,44,2746.2,2476,"Ruhpolding",714,42,28,105,"12.1.1981","Wet",0,4.3,"Rain",1,6.05815831987076,30.0219178082192,"Aboard"
"11-1-13","10-11","I","W","NEUNER Magdalena","GER",16,2,2748.1,2293.3,"Ruhpolding",714,42,28,105,"9.2.1987","Wet",0,4.3,"Rain",4,6.54079274408058,23.9424657534247,"Home"
"11-1-13","10-11","I","W","DÖLL Juliane","GER",17,46,2749.3,2484.1,"Ruhpolding",714,42,28,105,"8.7.1986","Wet",0,4.3,"Rain",1,6.03840425103659,24.5343607305936,"Home"
"11-1-13","10-11","I","W","BRETON Claire","FRA",18,39,2756.9,2454.4,"Ruhpolding",714,42,28,105,"23.6.1985","Wet",0,4.3,"Rain",1,6.11147327249022,25.5754566210046,"Aboard"
"11-1-13","10-11","I","W","BESCOND Anais","FRA",19,13,2758.2,2347.3,"Ruhpolding",714,42,28,105,"15.5.1987","Wet",0,4.3,"Rain",3,6.39032079410386,23.6823059360731,"Aboard"
"11-1-13","10-11","I","W","BACHMANN Tina","GER",20,3,2762.2,2298.1,"Ruhpolding",714,42,28,105,"15.7.1986","Wet",0,4.3,"Rain",4,6.52713110830686,24.5151826484018,"Home"
"11-1-13","10-11","I","W","TOFALVI Eva","ROU",21,45,2763.2,2482.8,"Ruhpolding",714,42,28,105,"4.12.1978","Wet",0,4.3,"Rain",1,6.04156597390043,32.1315068493151,"Aboard"
"11-1-13","10-11","I","W","PONZA Michela","ITA",22,41,2770.9,2469.8,"Ruhpolding",714,42,28,105,"12.2.1979","Wet",0,4.3,"Rain",1,6.07336626447486,31.9397260273973,"Aboard"
"11-1-13","10-11","I","W","MALI Andreja","SLO",23,26,2774.4,2406.3,"Ruhpolding",714,42,28,105,"17.11.1977","Wet",0,4.3,"Rain",2,6.23363670365291,33.1780821917808,"Aboard"
"11-1-13","10-11","I","W","SAUE Eveli","EST",24,20,2777.2,2386,"Ruhpolding",714,42,28,105,"13.2.1984","Wet",0,4.3,"Rain",3,6.28667225481978,26.9342465753425,"Aboard"
"11-1-13","10-11","I","W","OLOFSSON-ZIDEK Anna Carin","SWE",25,15,2777.3,2357.2,"Ruhpolding",714,42,28,105,"1.4.1973","Wet",0,4.3,"Rain",3,6.3634820974037,37.8109589041096,"Aboard"
"11-1-13","10-11","I","W","SKARDINO Nadezhda","BLR",26,47,2789.6,2484.4,"Ruhpolding",714,42,28,105,"27.3.1985","Wet",0,4.3,"Rain",1,6.03767509257768,25.8164383561644,"Aboard"
"11-1-13","10-11","I","W","PIDHRUSHNA Olena","UKR",27,34,2791.9,2441.1,"Ruhpolding",714,42,28,105,"9.1.1987","Wet",0,4.3,"Rain",2,6.14477080004916,24.027397260274,"Aboard"
"11-1-13","10-11","I","W","CYL Agnieszka","POL",28,25,2804,2403.4,"Ruhpolding",714,42,28,105,"28.2.1984","Wet",0,4.3,"Rain",3,6.24115835899143,26.8931506849315,"Aboard"
